label,stage,factor,patience,lr,bias_init,loss,seed,stop_epoch,RMSE,NASA,test_PDR,test_R2,test_CBR,val_PDR,val_R2,elapsed_s,is_collapsed
D_patience15,1,D_patience,15,0.001,zero,MSE,4,18,41.571,33670.89,4e-06,-0.126575,0.951281,3e-06,-0.000419,3.9,True
D_patience15,1,D_patience,15,0.001,zero,MSE,5,75,15.3118,725.45,0.989522,0.847161,0.350385,0.945928,0.902725,16.3,False
D_patience15,1,D_patience,15,0.001,zero,MSE,6,19,41.4531,32517.57,2e-06,-0.120196,0.948584,2e-06,-0.000143,4.1,True
D_patience15,1,D_patience,15,0.001,zero,MSE,7,32,41.7454,35406.36,1e-06,-0.136046,0.955271,1e-06,-0.001067,6.8,True
D_patience15,1,D_patience,15,0.001,zero,MSE,8,26,41.8351,36313.56,2e-06,-0.140937,0.957325,2e-06,-0.00151,5.6,True
D_patience15,1,D_patience,15,0.001,zero,MSE,9,18,41.306,31098.32,4e-06,-0.112258,0.945217,3e-06,-6e-06,4.0,True
D_patience30,1,D_patience,30,0.001,zero,MSE,0,191,12.1478,326.06,0.978793,0.903801,0.277981,0.947367,0.932392,40.9,False
D_patience30,1,D_patience,30,0.001,zero,MSE,1,34,41.6058,34014.27,1e-06,-0.128461,0.952077,1e-06,-0.000524,7.5,True
D_patience30,1,D_patience,30,0.001,zero,MSE,2,142,11.8474,321.92,1.004694,0.908499,0.271108,0.953884,0.927759,30.8,False
D_patience30,1,D_patience,30,0.001,zero,MSE,3,159,12.1019,303.06,1.031886,0.904526,0.276931,0.97493,0.932575,34.5,False
D_patience30,1,D_patience,30,0.001,zero,MSE,4,150,12.9597,343.18,0.999974,0.890512,0.29656,0.943829,0.930989,32.3,False
D_patience30,1,D_patience,30,0.001,zero,MSE,5,200,13.1745,367.56,0.962859,0.886851,0.301477,0.936422,0.929653,44.2,False
D_patience30,1,D_patience,30,0.001,zero,MSE,6,34,41.4531,32517.57,2e-06,-0.120196,0.948584,2e-06,-0.000143,7.6,True
D_patience30,1,D_patience,30,0.001,zero,MSE,7,153,13.0674,346.18,1.004976,0.888684,0.299024,0.951765,0.931166,33.9,False
D_patience30,1,D_patience,30,0.001,zero,MSE,8,200,13.1218,358.91,0.990129,0.887756,0.300269,0.951945,0.93589,43.4,False
D_patience30,1,D_patience,30,0.001,zero,MSE,9,120,12.3227,286.86,0.990818,0.90101,0.281984,0.955804,0.926674,25.9,False
E_lr1e4,1,E_lr,15,0.0001,zero,MSE,0,48,41.3451,31473.2,2e-06,-0.114365,0.946111,2e-06,-1.8e-05,10.3,True
E_lr1e4,1,E_lr,15,0.0001,zero,MSE,1,55,41.3017,31057.22,1e-06,-0.112026,0.945118,1e-06,-2e-06,12.0,True
E_lr1e4,1,E_lr,15,0.0001,zero,MSE,2,55,41.3816,31824.92,2e-06,-0.116334,0.946947,2e-06,-4.5e-05,12.1,True
E_lr1e4,1,E_lr,15,0.0001,zero,MSE,3,50,41.2792,30842.12,2e-06,-0.110814,0.944603,1e-06,-4e-06,11.1,True
E_lr1e4,1,E_lr,15,0.0001,zero,MSE,4,46,41.2616,30675.04,5e-06,-0.109871,0.944202,4e-06,-1.3e-05,10.0,True
E_lr1e4,1,E_lr,15,0.0001,zero,MSE,5,56,41.265,30706.99,1e-06,-0.110051,0.944278,1e-06,-7e-06,12.3,True
E_lr1e4,1,E_lr,15,0.0001,zero,MSE,6,55,41.3184,31217.67,2e-06,-0.112929,0.945502,1e-06,-6e-06,12.0,True
E_lr1e4,1,E_lr,15,0.0001,zero,MSE,7,53,41.264,30697.8,2e-06,-0.109999,0.944256,2e-06,-8e-06,11.5,True
E_lr1e4,1,E_lr,15,0.0001,zero,MSE,8,56,41.3374,31399.94,2e-06,-0.113953,0.945937,2e-06,-1.3e-05,12.3,True
E_lr1e4,1,E_lr,15,0.0001,zero,MSE,9,47,41.2505,30569.2,3e-06,-0.109273,0.943947,3e-06,-1.6e-05,10.4,True
E_lr1e3,1,E_lr,15,0.001,zero,MSE,0,18,41.2355,30426.04,3e-06,-0.108463,0.943603,3e-06,-2.4e-05,3.9,True
E_lr1e3,1,E_lr,15,0.001,zero,MSE,1,19,41.6058,34014.27,1e-06,-0.128461,0.952077,1e-06,-0.000524,4.1,True
E_lr1e3,1,E_lr,15,0.001,zero,MSE,2,127,11.8474,321.92,1.004694,0.908499,0.271108,0.953884,0.927759,28.1,False
E_lr1e3,1,E_lr,15,0.001,zero,MSE,3,35,41.6898,34849.92,1e-06,-0.133026,0.954,1e-06,-0.000829,7.8,True
E_lr1e3,1,E_lr,15,0.001,zero,MSE,4,18,41.571,33670.89,4e-06,-0.126575,0.951281,3e-06,-0.000419,3.9,True
E_lr1e3,1,E_lr,15,0.001,zero,MSE,5,75,15.3118,725.45,0.989522,0.847161,0.350385,0.945928,0.902725,16.6,False
E_lr1e3,1,E_lr,15,0.001,zero,MSE,6,19,41.4531,32517.57,2e-06,-0.120196,0.948584,2e-06,-0.000143,4.2,True
E_lr1e3,1,E_lr,15,0.001,zero,MSE,7,32,41.7454,35406.36,1e-06,-0.136046,0.955271,1e-06,-0.001067,7.1,True
E_lr1e3,1,E_lr,15,0.001,zero,MSE,8,26,41.8351,36313.56,2e-06,-0.140937,0.957325,2e-06,-0.00151,5.7,True
E_lr1e3,1,E_lr,15,0.001,zero,MSE,9,18,41.306,31098.32,4e-06,-0.112258,0.945217,3e-06,-6e-06,4.0,True
E_lr1e2,1,E_lr,15,0.01,zero,MSE,0,41,41.2234,30312.32,0.0,-0.107817,0.943328,0.0,-2.9e-05,9.1,True
E_lr1e2,1,E_lr,15,0.01,zero,MSE,1,17,41.0838,28996.97,1e-06,-0.100325,0.940132,0.0,-0.000267,3.9,True
E_lr1e2,1,E_lr,15,0.01,zero,MSE,2,19,41.4621,32605.14,0.0,-0.120682,0.94879,0.0,-0.000156,4.1,True
E_lr1e2,1,E_lr,15,0.01,zero,MSE,3,29,41.3054,31092.93,0.0,-0.112226,0.945203,0.0,-1e-06,6.3,True
E_lr1e2,1,E_lr,15,0.01,zero,MSE,4,23,41.2293,30367.5,0.0,-0.10813,0.943461,0.0,-2.5e-05,4.9,True
E_lr1e2,1,E_lr,15,0.01,zero,MSE,5,110,13.0903,332.72,0.962677,0.888293,0.299549,0.924291,0.908452,24.0,False
E_lr1e2,1,E_lr,15,0.01,zero,MSE,6,28,41.3291,31320.18,0.0,-0.113504,0.945746,0.0,-7e-06,6.3,True
E_lr1e2,1,E_lr,15,0.01,zero,MSE,7,34,41.16,29712.26,0.0,-0.104409,0.941876,0.0,-0.000107,7.6,True
E_lr1e2,1,E_lr,15,0.01,zero,MSE,8,27,41.1852,29950.39,0.0,-0.105764,0.942453,0.0,-7e-05,5.9,True
E_lr1e2,1,E_lr,15,0.01,zero,MSE,9,50,41.2866,30913.33,0.0,-0.111214,0.944773,0.0,-0.0,11.0,True
F_bias_zero,1,F_bias_init,15,0.001,zero,MSE,0,18,41.2355,30426.04,3e-06,-0.108463,0.943603,3e-06,-2.4e-05,4.0,True
F_bias_zero,1,F_bias_init,15,0.001,zero,MSE,1,19,41.6058,34014.27,1e-06,-0.128461,0.952077,1e-06,-0.000524,4.1,True
F_bias_zero,1,F_bias_init,15,0.001,zero,MSE,2,127,11.8474,321.92,1.004694,0.908499,0.271108,0.953884,0.927759,27.7,False
F_bias_zero,1,F_bias_init,15,0.001,zero,MSE,3,35,41.6898,34849.92,1e-06,-0.133026,0.954,1e-06,-0.000829,7.8,True
F_bias_zero,1,F_bias_init,15,0.001,zero,MSE,4,18,41.571,33670.89,4e-06,-0.126575,0.951281,3e-06,-0.000419,4.0,True
F_bias_zero,1,F_bias_init,15,0.001,zero,MSE,5,75,15.3118,725.45,0.989522,0.847161,0.350385,0.945928,0.902725,16.6,False
F_bias_zero,1,F_bias_init,15,0.001,zero,MSE,6,19,41.4531,32517.57,2e-06,-0.120196,0.948584,2e-06,-0.000143,4.2,True
F_bias_zero,1,F_bias_init,15,0.001,zero,MSE,7,32,41.7454,35406.36,1e-06,-0.136046,0.955271,1e-06,-0.001067,7.0,True
F_bias_zero,1,F_bias_init,15,0.001,zero,MSE,8,26,41.8351,36313.56,2e-06,-0.140937,0.957325,2e-06,-0.00151,5.7,True
F_bias_zero,1,F_bias_init,15,0.001,zero,MSE,9,18,41.306,31098.32,4e-06,-0.112258,0.945217,3e-06,-6e-06,4.1,True
F_bias_train_mean,1,F_bias_init,15,0.001,train_mean,MSE,0,72,12.4217,304.32,1.015126,0.899414,0.284248,0.972133,0.923223,15.8,False
F_bias_train_mean,1,F_bias_init,15,0.001,train_mean,MSE,1,68,13.6357,438.75,1.046394,0.878791,0.31203,0.986981,0.9295,14.8,False
F_bias_train_mean,1,F_bias_init,15,0.001,train_mean,MSE,2,55,12.8818,337.31,1.011764,0.891824,0.294778,0.957817,0.927879,12.1,False
F_bias_train_mean,1,F_bias_init,15,0.001,train_mean,MSE,3,60,13.8836,496.48,0.984446,0.874343,0.317704,0.93481,0.928519,13.3,False
F_bias_train_mean,1,F_bias_init,15,0.001,train_mean,MSE,4,84,13.1224,422.74,1.008651,0.887744,0.300285,0.958191,0.929957,18.5,False
F_bias_train_mean,1,F_bias_init,15,0.001,train_mean,MSE,5,46,12.8674,353.94,0.990875,0.892065,0.294449,0.956136,0.925661,10.1,False
F_bias_train_mean,1,F_bias_init,15,0.001,train_mean,MSE,6,57,12.6257,272.89,1.020876,0.896083,0.288917,0.980759,0.924948,12.5,False
F_bias_train_mean,1,F_bias_init,15,0.001,train_mean,MSE,7,101,12.5734,290.88,1.012605,0.89694,0.287722,0.962048,0.93155,22.3,False
F_bias_train_mean,1,F_bias_init,15,0.001,train_mean,MSE,8,54,12.7368,318.09,0.981039,0.894246,0.291459,0.953598,0.924929,12.0,False
F_bias_train_mean,1,F_bias_init,15,0.001,train_mean,MSE,9,57,12.6661,386.3,1.0216,0.895416,0.289842,0.976441,0.927035,12.3,False
G_loss_MSE,1,G_loss,15,0.001,zero,MSE,0,18,41.2355,30426.04,3e-06,-0.108463,0.943603,3e-06,-2.4e-05,4.1,True
G_loss_MSE,1,G_loss,15,0.001,zero,MSE,1,19,41.6058,34014.27,1e-06,-0.128461,0.952077,1e-06,-0.000524,4.1,True
G_loss_MSE,1,G_loss,15,0.001,zero,MSE,2,127,11.8474,321.92,1.004694,0.908499,0.271108,0.953884,0.927759,27.9,False
G_loss_MSE,1,G_loss,15,0.001,zero,MSE,3,35,41.6898,34849.92,1e-06,-0.133026,0.954,1e-06,-0.000829,7.6,True
G_loss_MSE,1,G_loss,15,0.001,zero,MSE,4,18,41.571,33670.89,4e-06,-0.126575,0.951281,3e-06,-0.000419,4.0,True
G_loss_MSE,1,G_loss,15,0.001,zero,MSE,5,75,15.3118,725.45,0.989522,0.847161,0.350385,0.945928,0.902725,16.4,False
G_loss_MSE,1,G_loss,15,0.001,zero,MSE,6,19,41.4531,32517.57,2e-06,-0.120196,0.948584,2e-06,-0.000143,4.2,True
G_loss_MSE,1,G_loss,15,0.001,zero,MSE,7,32,41.7454,35406.36,1e-06,-0.136046,0.955271,1e-06,-0.001067,6.9,True
G_loss_MSE,1,G_loss,15,0.001,zero,MSE,8,26,41.8351,36313.56,2e-06,-0.140937,0.957325,2e-06,-0.00151,5.6,True
G_loss_MSE,1,G_loss,15,0.001,zero,MSE,9,18,41.306,31098.32,4e-06,-0.112258,0.945217,3e-06,-6e-06,3.9,True
G_loss_MAE,1,G_loss,15,0.001,zero,MAE,0,69,13.0986,338.17,1.045552,0.888151,0.29974,1.002481,0.91747,15.4,False
G_loss_MAE,1,G_loss,15,0.001,zero,MAE,1,78,12.6211,389.14,1.042578,0.896157,0.288813,0.983707,0.926858,17.3,False
G_loss_MAE,1,G_loss,15,0.001,zero,MAE,2,80,13.3499,375.68,1.065205,0.883818,0.305491,1.000173,0.908577,17.5,False
G_loss_MAE,1,G_loss,15,0.001,zero,MAE,3,72,14.4486,479.0,1.047742,0.863909,0.330631,1.000874,0.918021,15.9,False
G_loss_MAE,1,G_loss,15,0.001,zero,MAE,4,86,13.072,365.03,1.026341,0.888605,0.299131,0.978038,0.93094,19.0,False
G_loss_MAE,1,G_loss,15,0.001,zero,MAE,5,80,13.1696,342.95,1.062274,0.886936,0.301363,0.999895,0.9077,17.7,False
G_loss_MAE,1,G_loss,15,0.001,zero,MAE,6,90,13.0337,474.04,1.024205,0.889257,0.298255,0.973103,0.917635,19.9,False
G_loss_MAE,1,G_loss,15,0.001,zero,MAE,7,83,13.3229,404.16,1.047699,0.884289,0.304871,0.992263,0.916614,18.5,False
G_loss_MAE,1,G_loss,15,0.001,zero,MAE,8,98,13.7565,455.88,1.042274,0.876635,0.314793,0.977832,0.917468,21.7,False
G_loss_MAE,1,G_loss,15,0.001,zero,MAE,9,71,14.4196,617.44,1.042867,0.864454,0.329969,0.987881,0.91725,15.7,False
G_loss_auxiliary,1,G_loss,15,0.001,zero,auxiliary,0,29,41.7925,35881.88,2e-06,-0.138615,0.956351,2e-06,-0.001291,7.5,True
G_loss_auxiliary,1,G_loss,15,0.001,zero,auxiliary,1,109,12.1822,315.34,1.026544,0.903254,0.27877,0.972255,0.929099,27.2,False
G_loss_auxiliary,1,G_loss,15,0.001,zero,auxiliary,2,32,41.7727,35681.85,1e-06,-0.137536,0.955897,1e-06,-0.001194,7.9,True
G_loss_auxiliary,1,G_loss,15,0.001,zero,auxiliary,3,97,12.6386,313.97,0.995562,0.89587,0.289212,0.95081,0.924527,24.2,False
G_loss_auxiliary,1,G_loss,15,0.001,zero,auxiliary,4,87,12.523,278.97,1.009762,0.897766,0.286567,0.962074,0.925704,21.7,False
G_loss_auxiliary,1,G_loss,15,0.001,zero,auxiliary,5,113,13.1159,319.7,0.985907,0.887856,0.300134,0.954128,0.913578,28.6,False
G_loss_auxiliary,1,G_loss,15,0.001,zero,auxiliary,6,33,41.8534,36499.86,1e-06,-0.141936,0.957744,1e-06,-0.001607,8.2,True
G_loss_auxiliary,1,G_loss,15,0.001,zero,auxiliary,7,108,12.8246,298.26,1.035656,0.892783,0.293468,0.985624,0.922364,27.1,False
G_loss_auxiliary,1,G_loss,15,0.001,zero,auxiliary,8,29,41.7911,35867.28,2e-06,-0.138537,0.956318,2e-06,-0.001284,7.3,True
G_loss_auxiliary,1,G_loss,15,0.001,zero,auxiliary,9,142,11.9543,282.08,0.995112,0.90684,0.273555,0.946002,0.930911,35.3,False
F_bias_random_calibrated,1,F_bias_init,15,0.001,random_calibrated,MSE,0,55,12.4868,305.36,0.960877,0.898356,0.285738,0.924695,0.921101,14.1,False
F_bias_random_calibrated,1,F_bias_init,15,0.001,random_calibrated,MSE,1,55,11.7844,230.22,0.998272,0.909469,0.269666,0.967728,0.925613,12.5,False
F_bias_random_calibrated,1,F_bias_init,15,0.001,random_calibrated,MSE,2,101,12.2026,313.75,1.044009,0.90293,0.279236,0.989606,0.928837,23.0,False
F_bias_random_calibrated,1,F_bias_init,15,0.001,random_calibrated,MSE,3,39,14.0257,390.97,1.049661,0.871758,0.320955,1.002987,0.920197,8.9,False
F_bias_random_calibrated,1,F_bias_init,15,0.001,random_calibrated,MSE,4,99,12.409,364.93,0.993437,0.899619,0.283958,0.953813,0.934506,22.6,False
F_bias_random_calibrated,1,F_bias_init,15,0.001,random_calibrated,MSE,5,65,12.1183,269.21,1.009767,0.904266,0.277307,0.971981,0.923045,14.6,False
F_bias_random_calibrated,1,F_bias_init,15,0.001,random_calibrated,MSE,6,58,12.5114,293.07,1.03155,0.897955,0.286302,0.981436,0.928292,12.9,False
F_bias_random_calibrated,1,F_bias_init,15,0.001,random_calibrated,MSE,7,92,12.2969,338.88,1.038223,0.901424,0.281394,0.98821,0.923898,21.0,False
F_bias_random_calibrated,1,F_bias_init,15,0.001,random_calibrated,MSE,8,62,13.6712,432.64,1.009622,0.878159,0.312842,0.955661,0.925053,13.9,False
F_bias_random_calibrated,1,F_bias_init,15,0.001,random_calibrated,MSE,9,47,13.3985,391.35,0.973575,0.882972,0.306601,0.933263,0.924811,10.6,False
