cond_a,cond_b,cond_c,seed,clip,stop_epoch,RMSE,NASA,test_PDR,test_R2,test_CBR,test_RMSE_const,val_PDR,val_R2,val_CBR,val_RMSE,elapsed_s,is_collapsed
A1_fixed,B2_from0,C3_clip100,0,100,24,33.3633,10764.83,3e-06,-0.071929,0.970632,34.3728,3e-06,-0.000502,0.992505,32.2673,5.2,True
A1_fixed,B2_from0,C3_clip100,1,100,135,7.0708,86.52,0.989229,0.951853,0.20571,34.3728,0.972866,0.95409,0.212606,6.912,29.0,False
A1_fixed,B2_from0,C3_clip100,2,100,116,7.5092,95.23,0.996841,0.945698,0.218463,34.3728,0.979297,0.951001,0.219643,7.1408,24.9,False
A1_fixed,B2_from0,C3_clip100,3,100,18,33.0664,9562.72,2e-06,-0.052936,0.961994,34.3728,2e-06,-0.000253,0.992381,32.2633,3.8,True
A1_fixed,B2_from0,C3_clip100,4,100,105,9.1685,143.33,0.985479,0.919048,0.266739,34.3728,0.98108,0.940555,0.241925,7.8652,22.4,False
A1_fixed,B2_from0,C3_clip100,5,100,75,11.0406,240.96,0.965131,0.882614,0.321203,34.3728,0.95662,0.929407,0.263637,8.5711,16.2,False
A1_fixed,B2_from0,C3_clip100,6,100,38,33.3648,10770.92,1e-06,-0.072025,0.970675,34.3728,1e-06,-0.000507,0.992507,32.2674,8.3,True
A1_fixed,B2_from0,C3_clip100,7,100,32,33.3344,10648.44,2e-06,-0.070071,0.96979,34.3728,2e-06,-0.000357,0.992433,32.2649,7.0,True
A1_fixed,B2_from0,C3_clip100,8,100,26,33.3897,10871.13,3e-06,-0.073628,0.9714,34.3728,3e-06,-0.000652,0.992579,32.2697,5.4,True
A1_fixed,B2_from0,C3_clip100,9,100,79,8.7099,113.66,0.966452,0.926945,0.253395,34.3728,0.955831,0.94388,0.235062,7.6421,16.9,False
A1_fixed,B3_warmup,C1_unclipped,0,None,56,40.3376,1162625.92,1.495904,0.050465,0.536546,75.1801,0.862755,0.720294,0.514267,46.2445,12.0,False
A1_fixed,B3_warmup,C1_unclipped,1,None,88,30.0707,47108.3,1.362151,0.47231,0.399983,75.1801,0.910526,0.744517,0.491495,44.1968,19.0,False
A1_fixed,B3_warmup,C1_unclipped,2,None,74,41.2023,8965076.84,1.540279,0.009319,0.548048,75.1801,0.942507,0.729163,0.506048,45.5055,16.0,False
A1_fixed,B3_warmup,C1_unclipped,3,None,87,39.5605,845325.37,1.555782,0.086697,0.52621,75.1801,0.953874,0.734768,0.500785,45.0321,18.7,False
A1_fixed,B3_warmup,C1_unclipped,4,None,70,35.0517,6194174.56,1.454817,0.283016,0.466237,75.1801,0.91285,0.761176,0.4752,42.7315,15.1,False
A1_fixed,B3_warmup,C1_unclipped,5,None,48,38.2343,80410.87,1.492863,0.146905,0.508569,75.1801,0.832884,0.711242,0.522523,46.9869,10.3,False
A1_fixed,B3_warmup,C1_unclipped,6,None,67,43.4227,2041849.43,1.513723,-0.100333,0.577582,75.1801,0.869803,0.70154,0.531228,47.7697,14.4,False
A1_fixed,B3_warmup,C1_unclipped,7,None,78,30.9215,2003802.84,1.373512,0.442026,0.4113,75.1801,0.855035,0.736549,0.4991,44.8807,16.9,False
A1_fixed,B3_warmup,C1_unclipped,8,None,59,40.293,4185412.24,1.548843,0.052562,0.535953,75.1801,0.92434,0.742211,0.493708,44.3958,12.6,False
A1_fixed,B3_warmup,C1_unclipped,9,None,57,35.6102,1824985.36,1.460021,0.259986,0.473665,75.1801,0.882425,0.730467,0.504829,45.3958,12.4,False
A1_fixed,B3_warmup,C2_clip125,0,125,106,12.0567,312.8,1.011537,0.905237,0.275897,43.7,0.955338,0.925212,0.270403,11.396,22.6,False
A1_fixed,B3_warmup,C2_clip125,1,125,115,12.0288,316.62,1.010959,0.905676,0.275258,43.7,0.964334,0.927284,0.266631,11.237,24.8,False
A1_fixed,B3_warmup,C2_clip125,2,125,127,11.8474,321.92,1.004694,0.908499,0.271108,43.7,0.953884,0.927759,0.26576,11.2003,27.2,False
A1_fixed,B3_warmup,C2_clip125,3,125,95,12.5743,288.59,0.999221,0.896926,0.287742,43.7,0.948748,0.924453,0.271773,11.4537,20.5,False
A1_fixed,B3_warmup,C2_clip125,4,125,98,12.1446,273.54,0.997845,0.90385,0.277909,43.7,0.956237,0.925963,0.269042,11.3386,21.1,False
A1_fixed,B3_warmup,C2_clip125,5,125,75,15.3118,725.45,0.989522,0.847161,0.350385,43.7,0.945928,0.902725,0.308388,12.9968,16.3,False
A1_fixed,B3_warmup,C2_clip125,6,125,130,11.9395,293.07,0.999467,0.90707,0.273216,43.7,0.948871,0.925954,0.269058,11.3393,27.8,False
A1_fixed,B3_warmup,C2_clip125,7,125,122,11.841,277.67,1.000307,0.908597,0.270962,43.7,0.954622,0.92972,0.262127,11.0472,26.3,False
A1_fixed,B3_warmup,C2_clip125,8,125,108,12.1069,272.64,1.012599,0.904446,0.277047,43.7,0.965989,0.923511,0.273461,11.5249,23.3,False
A1_fixed,B3_warmup,C2_clip125,9,125,105,12.3227,286.86,0.990818,0.90101,0.281984,43.7,0.955804,0.926674,0.267747,11.284,22.6,False
A1_fixed,B3_warmup,C3_clip100,0,100,102,7.798,100.68,0.977431,0.941441,0.226865,34.3728,0.967497,0.945288,0.232095,7.5456,22.1,False
A1_fixed,B3_warmup,C3_clip100,1,100,135,7.0708,86.52,0.989229,0.951853,0.20571,34.3728,0.972866,0.95409,0.212606,6.912,29.2,False
A1_fixed,B3_warmup,C3_clip100,2,100,116,7.5092,95.23,0.996841,0.945698,0.218463,34.3728,0.979297,0.951001,0.219643,7.1408,25.0,False
A1_fixed,B3_warmup,C3_clip100,3,100,114,7.641,102.05,0.982236,0.943776,0.222297,34.3728,0.96274,0.95184,0.217755,7.0794,24.4,False
A1_fixed,B3_warmup,C3_clip100,4,100,105,9.1685,143.33,0.985479,0.919048,0.266739,34.3728,0.98108,0.940555,0.241925,7.8652,22.8,False
A1_fixed,B3_warmup,C3_clip100,5,100,75,11.0406,240.96,0.965131,0.882614,0.321203,34.3728,0.95662,0.929407,0.263637,8.5711,16.3,False
A1_fixed,B3_warmup,C3_clip100,6,100,120,7.4758,93.55,0.969845,0.94618,0.217492,34.3728,0.952949,0.948418,0.225357,7.3266,26.0,False
A1_fixed,B3_warmup,C3_clip100,7,100,157,7.3717,95.89,0.978051,0.947669,0.214462,34.3728,0.959355,0.956481,0.206996,6.7296,33.8,False
A1_fixed,B3_warmup,C3_clip100,8,100,101,8.7394,127.5,0.958999,0.926448,0.254255,34.3728,0.944422,0.946486,0.22954,7.4626,21.8,False
